word,frequency,level
erliess,7,B2
fechten,7,B2
versicheren,7,B2
wachten,7,B2
erzürnen,7,B2
staunen,7,B2
versöhnen,7,B2
dreihunderen,7,B2
erloschen,7,B2
verloren,7,B2
messen,7,B2
gebühren,7,B2
ertrinken,7,B2
errichten,7,B2
erledigen,7,B2
abgewinnen,6,B2
schänden,6,B2
ausgezogen,6,B2
niedermachen,6,B2
abbrechen,6,B2
bestärken,6,B2
foppen,6,B2
sündigen,6,B2
bekümmern,6,B2
umringen,6,B2
schmieden,6,B2
gedeihen,6,B2
verbleiben,6,B2
derhalben,6,B2
überlauen,6,B2
versinken,6,B2
verhüten,6,B2
erretten,6,B2
erfrischen,6,B2
untersuchen,6,B2
verursachen,6,B2
vorbehalten,6,B2
wilen,6,B2
verraten,6,B2
verachen,6,B2
entzünden,6,B2
übertreffen,6,B2
steuern,6,B2
schleppten,6,B2
sprengen,6,B2
zurückgelassen,6,B2
entsprungen,6,B2
studieren,6,B2
gehst,6,B2
zugestehen,6,B2
bekehren,6,B2
antreten,6,B2
auflösen,6,B2
fluchen,6,B2
zurückgehen,6,B2
einverleiben,6,B2
Anfing,6,B2
biß,6,B2
beschenken,6,B2
übergingen,6,B2
abgeben,6,B2
ausgleichen,6,B2
verkehren,6,B2
erhören,6,B2
hereinkommen,6,B2
gedachen,6,B2
vertauschen,6,B2
wiedergeben,6,B2
darnach,6,B2
eingehen,6,B2
scheiden,6,B2
verhüllen,6,B2
weihen,6,B2
aufhängen,6,B2
schielen,6,B2
weiden,6,B2
zurückstoßen,6,B2
widersprechen,6,B2
abhängen,6,B2
aufzufassen,6,B2
beißen,6,B2
versperren,6,B2
künden,6,B2
beschädigen,6,B2
präsentieren,6,B2
vermitteln,6,B2
verhelfen,6,B2
verbanden,6,B2
zittern,6,B2
mehren,6,B2
ansahen,6,B2
erzeigen,6,B2
erbarmen,6,B2
benützen,6,B2
ablösen,6,B2
unangesehen,6,B2
entrinnen,6,B2
verstärken,6,B2
bequemen,6,B2
lecken,6,B2
erbat,6,B2
hingeben,6,B2
beigegeben,6,B2
aufbewahren,6,B2
beeinträchtigen,6,B2
überblicken,6,B2
schmieren,6,B2
amüsiren,6,B2
marschieren,6,B2
verleben,6,B2
nicken,6,B2
mitkommen,6,B2
belästigen,6,B2
erneuern,6,B2
verwickeln,6,B2
schütteln,6,B2
gethan,6,B2
betrauen,6,B2
gießen,6,B2
voraussetzen,6,B2
verliess,6,B2
tränken,6,B2
schwinden,6,B2
streuen,6,B2
taugen,6,B2
vergnügen,6,B2
aufführen,6,B2
verlaufen,6,B2
erstrecken,6,B2
belageren,6,B2
brannen,6,B2
Book,6,B2
läuten,6,B2
luden,6,B2
angelangen,6,B2
besinnen,6,B2
herkommen,6,B2
geniessen,6,B2
hinlegen,6,B2
flehen,6,B2
zielen,6,B2
rissen,6,B2
hinstellen,6,B2
zurückgeben,6,B2
langweilen,6,B2
zerfallen,6,B2
dächen,6,B2
befolgen,6,B2
dehnen,6,B2
schmeicheln,6,B2
wern,6,B2
veranlassen,6,B2
zupfen,6,B2
bahnen,6,B2
’,6,B2
einsehen,6,B2
ausfallen,6,B2
aßen,6,B2
vergrössern,6,B2
trüben,6,B2
abgesandt,6,B2
preisgeben,6,B2
zurückführen,6,B2
erstatten,6,B2
schluchzen,6,B2
strahlen,6,B2
gerathen,6,B2
darzubringen,6,B2
werben,6,B2
bestiegen,6,B2
ausrichten,6,B2
ertränkt,6,B2
verknüpfen,6,B2
than,5,B2
ausreißen,5,B2
Läßt,5,B2
zurücklegen,5,B2
vergießen,5,B2
50.,5,B2
ermessen,5,B2
stiften,5,B2
anweisen,5,B2
gesotten,5,B2
mangelen,5,B2
regnen,5,B2
exercises,5,B2
zurichen,5,B2
umdrehten,5,B2
verirren,5,B2
abwehren,5,B2
versammelen,5,B2
wussen,5,B2
berechnen,5,B2
hab,5,B2
verbreiten,5,B2
küßen,5,B2
beizumessen,5,B2
abführen,5,B2
abgehen,5,B2
entblößen,5,B2
blenden,5,B2
träumen,5,B2
äußern,5,B2
hernach,5,B2
zieren,5,B2
bleisen,5,B2
vorliegen,5,B2
krönen,5,B2
seh,5,B2
verschlucken,5,B2
ermangeln,5,B2
schütten,5,B2
zurückschlagen,5,B2
verschmähen,5,B2
aufbringen,5,B2
vermöchte,5,B2
beichten,5,B2
niemalen,5,B2
herabsetzen,5,B2
reuen,5,B2
geschworen,5,B2
verschmerzen,5,B2
verabschieden,5,B2
verbrannen,5,B2
praktizieren,5,B2
Berieth,5,B2
überschwemmen,5,B2
wofern,5,B2
erachten,5,B2
Allda,5,B2
peinigen,5,B2
typen,5,B2
benehmen,5,B2
zanken,5,B2
aufzurichten,5,B2
gelitten,5,B2
überkommen,5,B2
vermindern,5,B2
anzustellen,5,B2
abordnen,5,B2
verschlimmern,5,B2
mangeln,5,B2
verhoffen,5,B2
beriethen,5,B2
stund,5,B2
schaden,5,B2
gib,5,B2
hinterliess,5,B2
spenden,5,B2
theilten,5,B2
schallen,5,B2
verfluchen,5,B2
aufgehangen,5,B2
erschrocken,5,B2
durchschauen,5,B2
hingen,5,B2
erflehen,5,B2
heuen,5,B2
getrauen,5,B2
beenden,5,B2
darfst,5,B2
auffangen,5,B2
empfingen,5,B2
diskutieren,5,B2
zunehmen,5,B2
langen,5,B2
beneiden,5,B2
stunden,5,B2
verhungern,5,B2
rupfen,5,B2
zerschlagen,5,B2
schwächen,5,B2
willigen,5,B2
mitmachen,5,B2
schmecken,5,B2
andern,5,B2
hetzen,5,B2
verdingen,5,B2
übersehen,5,B2
belaufen,5,B2
hinzufügen,5,B2
winden,5,B2
hinkommen,5,B2
stampfen,5,B2
besänftigen,5,B2
schärfen,5,B2
Hiess,5,B2
hinderen,5,B2
vorsetzen,5,B2
Gingen,5,B2
übermannen,5,B2
verhauen,5,B2
ankamen,5,B2
klatschen,5,B2
schlüpfen,5,B2
bluten,5,B2
empören,5,B2
spazieren,5,B2
beleuchten,5,B2
Sasse,5,B2
hervorbringen,5,B2
zeichnen,5,B2
nöthigen,5,B2
tummeln,5,B2
scherzen,5,B2
Helfen,5,B2
unterliegen,5,B2
sparen,5,B2
Pfannkuchen,5,B2
überschätzen,5,B2
landen,5,B2
durchführen,5,B2
erschweren,5,B2
aufbauen,5,B2
tagen,5,B2
gleiten,5,B2
vorhalten,5,B2
erfinden,5,B2
erstaunen,5,B2
verging,5,B2
leihen,5,B2
scheitern,5,B2
überleben,5,B2
heranziehen,5,B2
anzeigen,5,B2
zuführen,5,B2
banden,5,B2
dein,5,B2
zusammenbringen,5,B2
dorfen,5,B2
wüten,5,B2
erlassen,5,B2
spitzen,5,B2
vergolden,5,B2
überliess,5,B2
abziehen,5,B2
hervorgehen,5,B2
verwirren,5,B2
übereinstimmen,5,B2
begnadigen,5,B2
antun,5,B2
schweben,5,B2
spucken,5,B2
dürfen,5,B2
fortleben,5,B2
Seht,5,B2
schwärmen,5,B2
fortschreiten,5,B2
rieb,5,B2
